starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 14 18:15:43 2023	1694704543	1	18	19	14
Thu Sep 14 18:15:55 2023	1694704555	0	21	22	21
Thu Sep 14 18:15:45 2023	1694704545	0	24	24	23
Thu Sep 14 18:15:56 2023	1694704556	1	23	24	23
Thu Sep 14 18:15:49 2023	1694704549	0	26	26	26
Thu Sep 14 18:15:44 2023	1694704544	1	25	26	25
Thu Sep 14 18:15:56 2023	1694704556	0	27	27	27
Thu Sep 14 18:15:54 2023	1694704554	1	27	28	25
Thu Sep 14 18:15:50 2023	1694704550	1	28	29	28
Thu Sep 14 18:15:50 2023	1694704550	0	29	29	28
Thu Sep 14 18:15:47 2023	1694704547	1	28	29	27
Thu Sep 14 18:15:50 2023	1694704550	0	29	29	29
Thu Sep 14 18:15:46 2023	1694704546	3	26	29	25
Thu Sep 14 18:15:48 2023	1694704548	1	29	29	27
Thu Sep 14 18:15:48 2023	1694704548	0	30	30	29
Thu Sep 14 18:15:55 2023	1694704555	1	29	30	29
Thu Sep 14 18:15:51 2023	1694704551	0	30	30	30
Thu Sep 14 18:15:51 2023	1694704551	0	30	30	30
Thu Sep 14 18:15:46 2023	1694704546	0	31	31	31
Thu Sep 14 18:15:52 2023	1694704552	0	31	31	31
Thu Sep 14 18:15:45 2023	1694704545	1	31	31	29
Thu Sep 14 18:15:54 2023	1694704554	0	31	31	30
Thu Sep 14 18:15:56 2023	1694704556	0	31	31	30
Thu Sep 14 18:15:50 2023	1694704550	1	31	31	31
Thu Sep 14 18:15:49 2023	1694704549	0	32	32	32
Thu Sep 14 18:15:44 2023	1694704544	1	31	32	31
Thu Sep 14 18:15:51 2023	1694704551	1	31	32	31
Thu Sep 14 18:15:45 2023	1694704545	1	31	32	31
Thu Sep 14 18:15:46 2023	1694704546	1	31	32	31
Thu Sep 14 18:15:54 2023	1694704554	0	32	32	32
Thu Sep 14 18:15:43 2023	1694704543	0	32	32	32
Thu Sep 14 18:15:44 2023	1694704544	1	31	32	31
Thu Sep 14 18:15:56 2023	1694704556	0	33	33	33
Thu Sep 14 18:15:46 2023	1694704546	0	33	33	33
Thu Sep 14 18:15:53 2023	1694704553	1	32	33	31
Thu Sep 14 18:15:47 2023	1694704547	0	33	33	33
Thu Sep 14 18:15:48 2023	1694704548	1	33	34	33
Thu Sep 14 18:15:48 2023	1694704548	1	33	34	33
Thu Sep 14 18:15:53 2023	1694704553	0	34	34	33
Thu Sep 14 18:15:43 2023	1694704543	0	34	34	34
Thu Sep 14 18:15:46 2023	1694704546	0	34	34	34
Thu Sep 14 18:15:52 2023	1694704552	1	33	34	33
Thu Sep 14 18:15:56 2023	1694704556	0	34	34	34
Thu Sep 14 18:15:50 2023	1694704550	1	34	35	34
Thu Sep 14 18:15:50 2023	1694704550	0	34	35	34
Thu Sep 14 18:15:54 2023	1694704554	1	34	35	34
Thu Sep 14 18:15:51 2023	1694704551	1	34	35	34
Thu Sep 14 18:15:48 2023	1694704548	1	34	35	34
Thu Sep 14 18:15:46 2023	1694704546	0	35	35	34
Thu Sep 14 18:15:48 2023	1694704548	0	35	35	35
Thu Sep 14 18:15:45 2023	1694704545	1	34	35	34
Thu Sep 14 18:15:56 2023	1694704556	0	35	35	34
Thu Sep 14 18:15:50 2023	1694704550	0	35	35	35
Thu Sep 14 18:15:52 2023	1694704552	1	35	35	34
Thu Sep 14 18:15:56 2023	1694704556	1	35	35	35
Thu Sep 14 18:15:49 2023	1694704549	1	35	35	35
Thu Sep 14 18:15:49 2023	1694704549	1	35	36	35
Thu Sep 14 18:15:49 2023	1694704549	1	35	36	34
Thu Sep 14 18:15:48 2023	1694704548	0	36	36	36
Thu Sep 14 18:15:56 2023	1694704556	0	36	36	36
Thu Sep 14 18:15:55 2023	1694704555	0	36	36	36
Thu Sep 14 18:15:53 2023	1694704553	1	35	36	35
Thu Sep 14 18:15:49 2023	1694704549	0	36	36	36
Thu Sep 14 18:15:48 2023	1694704548	1	35	36	35
Thu Sep 14 18:15:47 2023	1694704547	0	36	36	36
Thu Sep 14 18:15:44 2023	1694704544	0	36	36	36
Thu Sep 14 18:15:52 2023	1694704552	0	36	36	36
Thu Sep 14 18:15:53 2023	1694704553	0	36	36	36
Thu Sep 14 18:15:46 2023	1694704546	1	36	36	36
Thu Sep 14 18:15:53 2023	1694704553	1	36	37	35
Thu Sep 14 18:15:56 2023	1694704556	1	36	37	36
Thu Sep 14 18:15:50 2023	1694704550	1	36	37	36
Thu Sep 14 18:15:55 2023	1694704555	1	36	37	32
Thu Sep 14 18:15:48 2023	1694704548	0	37	37	37
Thu Sep 14 18:15:44 2023	1694704544	0	37	37	36
Thu Sep 14 18:15:51 2023	1694704551	1	36	37	35
Thu Sep 14 18:15:46 2023	1694704546	1	36	37	36
Thu Sep 14 18:15:47 2023	1694704547	0	37	37	36
Thu Sep 14 18:15:53 2023	1694704553	0	37	37	36
Thu Sep 14 18:15:55 2023	1694704555	1	36	37	36
Thu Sep 14 18:15:55 2023	1694704555	0	37	37	37
Thu Sep 14 18:15:51 2023	1694704551	0	37	37	37
Thu Sep 14 18:15:55 2023	1694704555	1	36	37	36
Thu Sep 14 18:15:44 2023	1694704544	0	38	38	37
Thu Sep 14 18:15:45 2023	1694704545	1	37	38	37
Thu Sep 14 18:15:48 2023	1694704548	1	37	38	37
Thu Sep 14 18:15:48 2023	1694704548	1	37	38	37
Thu Sep 14 18:15:52 2023	1694704552	1	37	38	37
Thu Sep 14 18:15:49 2023	1694704549	1	37	38	37
Thu Sep 14 18:15:46 2023	1694704546	0	38	38	36
Thu Sep 14 18:15:52 2023	1694704552	0	38	38	34
Thu Sep 14 18:15:44 2023	1694704544	1	37	38	37
Thu Sep 14 18:15:45 2023	1694704545	0	38	38	38
Thu Sep 14 18:15:50 2023	1694704550	1	38	38	38
Thu Sep 14 18:15:48 2023	1694704548	0	38	38	37
Thu Sep 14 18:15:46 2023	1694704546	0	38	38	38
Thu Sep 14 18:15:50 2023	1694704550	1	38	38	38
Thu Sep 14 18:15:50 2023	1694704550	1	38	38	38
Thu Sep 14 18:15:55 2023	1694704555	0	38	39	38
Thu Sep 14 18:15:45 2023	1694704545	0	39	39	39
